KEY,en,notes,sp,fr,de,it,pt-br,zh,ja
ITEM_ANARCHISTCOOKBOOK_DESC,Use: Summon 3-5 grenades that explode at the end of the round or when destroyed.,,Uso: Invoca 3-5 granadas que estallan al final de la ronda o cuando se destruyen.,Utilisation&nbsp;: fait apparaître 3&nbsp;à 5&nbsp;grenades qui explosent en fin de manche ou en étant détruites.,"Benutzen: Lasse 3&nbsp;– 5 Granaten erscheinen, die am Ende der Runde, oder wenn sie zerstört werden, explodieren.",Uso: Evochi 3-5 granate che esplodono alla fine del round o quando vengono distrutte.,Uso: invoque 3-5 granadas que explodem no final da rodada ou ao serem destruídas.,"使用：召唤3-5颗手雷，
在回合结束或被摧毁时爆炸。","使用: ラウンド終了時または破
壊されたときに爆発する3～5個
の手榴弾を召喚します。"
ITEM_ANOINTINGOIL_NAME,Anointing Oil,,Óleo de los enfermos,Huile d'onction,Salböl,Olio da Unzione,Óleo de Unção,涂油圣水,聖油
ITEM_ANOINTINGOIL_DESC,"Use: Cleanse debuffs from an adjacent unit or yourself.
[s:.7](Usable once per battle.)[/s]",,"Uso: Elimina las desventajas de esta unidad o de otra adyacente.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: dissipe les malus d'une unité adjacente ou de vous-même.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Reinige deine Schwächungen oder die einer benachbarten Einheit.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Rimuovi i malus da te o da un'unità adiacente.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: purifique enfraquecimentos de si ou de uma unidade adjacente.
[s:.7](Um uso por batalha.)[/s]","使用：
清除相邻单位或自身的减益状态。

[s:.7](每场战斗可使用一次。)[/s]","使用: 隣接するユニットまたは
自分自身からデバフを浄化します
。  
[s:.7](戦闘中に一度だけ使用可能です
。)[/s]"
ITEM_BAGOFCHUM_NAME,Bag Of Chum,,Bolsa de cebo,Sac d'asticots,Ködertasche,Sacco di Pastura,Bolsa de Iscas,诱饵袋,魅惑のエサ袋
ITEM_BAGOFCHUM_DESC,Use: Spawn a Charmed Maggot.,,Uso: Genera un gusano embrujado.,Utilisation&nbsp;: invoque un asticot envoûté.,Benutzen: Rufe eine freundliche Made.,Uso: Generi una Larva Ammaliata.,Uso: gere um verme enfeitiçado.,使用：生成一个受魅魔蛆。,"使用: 魅了されたウジ虫を生成
します。"
ITEM_BAGOFGLASS_NAME,Bag o' Glass,,Bolsa de cristales,Sac de verre,Scherbentasche,Sacco di Vetro,Saco de Vidro,玻璃袋,ガラス袋
ITEM_BAGOFGLASS_DESC,"Use: Spawn Glass on an adjacent tile.
5% chance to break when used.",,"Uso: Genera cristales en una casilla adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: fait apparaître du verre sur une case adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Lasse auf einem benachbarten Feld Scherben erscheinen.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Generi Vetro su una casella adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: gere vidro em um espaço adjacente.
5% de chance de quebrar após o uso.","使用：在相邻的格子生成玻璃。
使用时有5%机率破损。","使用: 隣接するタイルにガラス
を生成します。  
使用時に5%の確率で壊れます。"
ITEM_BAGOFGLITTER_NAME,Bag o' Glitter,,Bolsa de brillibrilli,Sac de paillettes,Glitzertasche,Sacco di Brillantini,Saco de Purpurina,闪光粉袋,キラキラ袋
ITEM_BAGOFGLITTER_DESC,"Use: Inflict Blind 2 on an adjacent unit.
5% chance to break when used.",,"Uso: Inflige 2 de ceguera a una unidad adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: inflige Cécité +2&nbsp;à une unité adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Verursache Blindheit&nbsp;2 bei einer benachbarten Einheit.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Infliggi Accecamento 2 a un'unità adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: aplique cegueira 2 em uma unidade adjacente.
5% de chance de quebrar após o uso.","使用：
对相邻单位施加致盲2效果。
使用时有5%机率破损。","使用: 隣接するユニットに盲目
2を付与します。  
使用時に5%の確率で壊れます。"
ITEM_BAGOFMEAT_NAME,Bag o' Meat,,Bolsa de carne,Sac de viande,Fleischtasche,Sacco di Carne,Saco de Carne,肉袋,肉袋
ITEM_BAGOFMEAT_DESC,"Use: Spawn Meat on an adjacent tile.
5% chance to break when used.",,"Uso: Genera carne en una casilla adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: fait apparaître de la viande sur une case adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Lasse auf einem benachbarten Feld Fleisch erscheinen.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Generi Carne su una casella adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: gere carne em um espaço adjacente.
5% de chance de quebrar após o uso.","使用：在相邻的格子生成肉块。
使用时有5%机率破损。","使用: 隣接するタイルに肉を生
成します。  
使用時に5%の確率で壊れます。"
ITEM_BAGOFROCKS_NAME,Bag of Rocks,,Bolsa de rocas,Sac de pierres,Steintasche,Sacco di Rocce,Saco de Pedras,一袋石头,石の袋
ITEM_BAGOFROCKS_DESC,Use: A melee attack that inflicts Bruise.,,Uso: Lanza un ataque cuerpo a cuerpo que inflige moratón.,Utilisation&nbsp;: une attaque au corps-à-corps qui inflige Contusion.,"Benutzen: Ein Nahkampfangriff, der Beulen verursacht.",Uso: Un attacco corpo a corpo che infligge Livido.,Uso: um ataque corpo-a-corpo que aplica contusão.,"使用：一个近战攻击，
造成挫伤。",使用: 打撲を与える近接攻撃。
ITEM_BAGOFSTUFF_NAME,Bag o' Stuff,,Bolsa de chismes,Sac mystère,Tasche mit Zeug,Sacco di Roba,Saco de Coisas,杂物袋,ガラクタ袋
ITEM_BAGOFSTUFF_DESC,"Use: Spawn a random pickup on an adjacent tile.
5% chance to break when used.",,"Uso: Genera un recogible al azar en una casilla adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: fait apparaître une ressource aléatoire sur une case adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Lasse auf einem benachbarten Feld einen zufälligen Gegenstand erscheinen.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Generi un oggetto casuale su una casella adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: gere um coletável aleatório em um espaço adjacente.
5% de chance de quebrar após o uso.","使用：
在相邻的格子上生成一个随机拾取物。

使用时有5%几率破损。","使用: 隣接するタイルにランダ
ムなピックアップを生成します。
  
使用時に5%の確率で壊れること
があります。"
ITEM_BALLPEENHAMMER_NAME,Ball-Peen Hammer,,Martillo de bola,Marteau à panne ronde,Schlosserhammer,Martello a Penna Sferica,Martelo de Bola,球面锤,丸頭ハンマー
ITEM_BALLPEENHAMMER_DESC,"Use: A melee attack. If used on an ally, give +1 use to all of their items instead of dealing damage.
5% chance to break when used to repair items.",,"Uso: Al lanzar este ataque cuerpo a cuerpo contra un aliado, otorga +1 uso a todos sus objetos en vez de infligir daño.
5 % de probabilidad de romperse al usarlo para reparar objetos.","Utilisation&nbsp;: une attaque au corps-à-corps. Utilisé sur un allié, accorde Utilisation +1&nbsp;à tous ses objets au lieu d'infliger des dégâts.
5&nbsp;% de chances de se briser après avoir été utilisé pour réparer des objets.","Benutzen. Ein Nahkampfangriff. Ist das Ziel ein Verbündeter, verleihe all seinen Gegenständen +1&nbsp;Anwendung statt Schaden zu verursachen.
Geht nach Reparatur mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Un attacco corpo a corpo. Se usato su un alleato, conferisce +1 utilizzo a tutti i suoi oggetti invece di infliggere danno.
5% di probabilità di rompersi quando viene utilizzato per riparare oggetti.","Uso: um ataque corpo-a-corpo. Se utilizado em um aliado, concede +1 de todos os seus itens ao invés de causar dano.
5% de chance de quebrar após o uso.","使用：一次近战攻击。
如果用于盟友，
则给予他们所有物品+1次使用次数，
而不是造成伤害。
用于修理物品时有5%几率破损。
","使用: 近接攻撃。味方に使用し
た場合、ダメージを与える代わり
にそのアイテムの使用回数を+1
します。
アイテムを修理する際に使用する
と、5%の確率で壊れることがあ
ります。"
ITEM_BARBEDPAW_NAME,Barbed Paw,,Pata de espino,Patoune barbelée,Dornentatze,Zampa Spinata,Pata Farpada,带刺爪,刺の爪
ITEM_BARBEDPAW_DESC,"Use: A melee attack that inflicts Bleed 1.
Passive: +1 Thorns.",,"Uso: Lanza un ataque cuerpo a cuerpo que inflige 1 de hemorragia.
Pasiva: +1 de espinas.","Utilisation&nbsp;: une attaque au corps-à-corps qui inflige Saignement +1.
Passif&nbsp;: Épines +1.","Benutzen: Ein Nahkampfangriff, der Blutung&nbsp;1 verursacht.
Passiveffekt: +1&nbsp;Dornen.","Uso: Un attacco corpo a corpo che infligge Sanguinamento 1.
Abilità Passiva: +1 Spine.","Uso: um ataque corpo-a-corpo que aplica sangramento 1.
Passivo: +1 de espinhos.","使用：一次近战攻击，
造成1点流血。
被动：+1荆棘。","使用: 近接攻撃で出血1を与え
る。  
パッシブ: +1 トゲ。"
ITEM_BATTERY_NAME,Battery,,Batería,Batterie,Batterie,Batteria,Pilha,电池,バッテリー
ITEM_BATTERY_DESC,Use: A ranged lightning attack with a 10% chance to Stun.,,Uso: Lanza un ataque relámpago a distancia con un 10 % de probabilidad de aturdir.,Utilisation&nbsp;: un éclair lancé à distance avec 10&nbsp;% de chances d'infliger Étourdissement.,"Benutzen: Ein Fernkampf-Blitzangriff, der mit 10%iger Wahrscheinlichkeit Betäubung verursacht.",Uso: Un attacco elettrico a distanza con un 10% di probabilità di infliggere Stordimento.,Uso: um ataque elétrico à distância com 10% de chance de atordoar.,"使用：一次远程闪电攻击，
有10%几率造成眩晕。","使用: 遠距離の雷攻撃で、10
%の確率でスタンさせる。"
ITEM_BATTLEAXE_NAME,Battle Axe,,Hacha de guerra,Hache de guerre,Streitaxt,Ascia da Battaglia,Machado de Batalha,战斗斧,バトルアックス
ITEM_BATTLEAXE_DESC,"Use: A melee spin attack.
This uses up both your movement and attack action.",,"Uso: Lanza un ataque giratorio cuerpo a cuerpo.
Este objeto gasta la acción de movimiento y la de ataque.","Utilisation&nbsp;: une attaque au corps-à-corps tournoyante.
Consomme à la fois votre action de déplacement et votre action d'attaque.","Benutzen: Ein Nahkampf-Wirbelangriff.
Verbraucht deine Bewegungsaktion und deinen Angriff.","Uso: Un attacco rotante corpo a corpo.
Consuma sia la tua azione di movimento che quella di attacco.","Uso: um ataque corpo-a-corpo giratório.
Isto conta como sua ação de movimento e sua ação de ataque.","使用：一次近战旋转攻击。
这将消耗你的移动和攻击行动。","使用: 近接スピン攻撃。  
これは移動と攻撃の両方のアクシ
ョンを消費します。"
ITEM_BEARTRAPS_NAME,Bear Traps,,Cepos para osos,Pièges à ours,Bärenfalle,Trappole per Orsi,Armadilhas de Urso,熊夹,クマ罠
ITEM_BEARTRAPS_DESC,Use: Place a Bear Trap.,,Uso: Coloca un cepo para osos.,Utilisation&nbsp;: place un piège à ours.,Benutzen: Lege eine Bärenfalle.,Uso: Piazzi una Trappola per Orsi.,Uso: prepare uma armadilha de urso.,使用：放置一个熊夹。,"使用方法：クマの罠を設置します
。"
ITEM_BENTSPOON_NAME,Bent Spoon,,Cuchara doblada,Cuillère tordue,Verbogener Löffel,Cucchiaio Piegato,Colher Dobrada,弯曲的勺子,曲がったスプーン
ITEM_BENTSPOON_DESC,Use: Pull any unit 1 tile toward you and deal 1 damage to it.,,Uso: Atrae a cualquier unidad 1 casilla y le inflige 1 de daño.,Utilisation&nbsp;: tire n'importe quelle unité d'une case vers vous et lui infligez 1&nbsp;dégât.,Benutzen: Ziehe eine beliebige Einheit 1&nbsp;Feld an dich heran und füge ihr 1&nbsp;Schaden zu.,Uso: Tiri un'unità qualsiasi di 1 casella verso di te e le infliggi 1 danno.,Uso: puxe qualquer unidade 1 espaço na sua direção e cause 1 de dano a ela.,"使用：
将任意单位向你拉近1格，
并对其造成1点伤害。","使用: 任意のユニットを1マス
手前に引き寄せ、1ダメージを与
える。"
ITEM_BIBLE_NAME,The Bible,,La Biblia,La Sainte Bible,Die Bibel,La Bibbia,Bíblia,圣经,聖書
ITEM_BIBLE_DESC,"Use: Cleanse one stack of a random debuff from a unit at melee range. 
Passive: Your heals heal for 1 extra.",,"Uso: Elimina una acumulación de una desventaja al azar de una unidad que esté al alcance del cuerpo a cuerpo. 
Pasiva: Las acciones curativas devuelven 1 PS extra.","Utilisation&nbsp;: dissipe le cumul d'un malus aléatoire d'une unité au corps-à-corps.
Passif&nbsp;: vos soins guérissent 1&nbsp;fois de plus.","Benutzen: Reinige einen Stapel einer zufälligen Schwächung bei einer Einheit in Nahkampfreichweite.
Passiveffekt: Deine Heilungen heilen 1&nbsp;LP mehr.","Uso: Rimuovi uno stack di un malus casuale da un'unità a una distanza corpo a corpo.
Abilità Passiva: Le tue cure rigenerano 1 PS in più.","Uso: purifique uma acumulação de um enfraquecimento aleatório de uma unidade dentro do alcance corpo-a-corpo.
Passivo: suas curas são 1 PV mais efetivas.","使用：
从近战范围内的单位上清除1层随机负面状态。

被动：你的治疗效果额外增加1点。
","使用: 近接範囲内のユニットか
らランダムなデバフを1スタック
浄化します。  
パッシブ: あなたの回復は追加
で1回復します。"
ITEM_BIGGESTSTICK_NAME,Biggest Stick,,Palo grandísimo,Gigabâton,Der größte Stock,Bastone Enorme,Graveto Enorme,最大棍棒,最強の棒
ITEM_BIGGESTSTICK_DESC,Use: A melee attack with +3 reach.,,Uso: Lanza un ataque cuerpo a cuerpo con +3 de extensión.,Utilisation&nbsp;: une attaque au corps-à-corps avec Allonge +3.,Benutzen: Ein Nahkampfangriff mit +3&nbsp;Reichweite.,Uso: Un attacco corpo a corpo con portata +3.,Uso: um ataque corpo-a-corpo com +3 de envergadura.,"使用：一次近战攻击，
攻击范围+3。","使用: +3のリーチを持つ近接
攻撃。"
ITEM_BIGSPRING_NAME,Big Spring,,Muelle grande,Gros ressort,Große Feder,Molla Gigante,Mola Grande,大弹簧,大バネ
ITEM_BIGSPRING_DESC,Use: Throw an adjacent unit to a tile.,,Uso: Lanza a una unidad adyacente hacia otra casilla.,Utilisation&nbsp;: propulse une unité adjacente sur une case.,Benutzen: Wirf eine benachbarte Einheit auf ein beliebiges Feld.,Uso: Lanci un'unità adiacente su una casella.,Uso: lance uma unidade adjacente em um espaço.,"使用：
将一个相邻单位投掷到一个格子上。
","使用: 隣接するユニットをタイ
ルに投げる。"
ITEM_BIGSTICK_NAME,Big Stick,,Palo grande,Gros bâton,Großer Stock,Bastone Grande,Graveto Grande,大棍棒,長棒
ITEM_BIGSTICK_DESC,Use: A melee attack with +2 reach.,,Uso: Lanza un ataque cuerpo a cuerpo con +2 de extensión.,Utilisation&nbsp;: une attaque au corps-à-corps avec Allonge +2.,Benutzen: Ein Nahkampfangriff mit +2&nbsp;Reichweite.,Uso: Un attacco corpo a corpo con portata +2.,Uso: um ataque corpo-a-corpo com +2 de envergadura.,"使用：近战攻击，
攻击范围+2。","使用: +2のリーチを持つ近接
攻撃。"
ITEM_BLACKJACK_NAME,Blackjack,,Cachiporra,Matraque,Schlagstock,Manganello,Cassetete,二十一点,ブラックジャック
ITEM_BLACKJACK_DESC,"Use: A melee attack with a 5% chance to Stun.
Automatically use this when you stop next to an enemy or an enemy stops next to you.",,"Uso: Lanza un ataque cuerpo a cuerpo con un 5 % de probabilidad de aturdir.
Se usa automáticamente cuando esta unidad se detiene junto a un enemigo o viceversa.","Utilisation&nbsp;: une attaque au corps-à-corps avec 5&nbsp;% de chances d'infliger Étourdissement.
Utilisation automatique quand vous vous arrêtez à côté d'un ennemi ou qu'un ennemi se place à côté de vous.","Benutzen: Ein Nahkampfangriff, der mit 5%iger Wahrscheinlichkeit Betäubung verursacht.
Benutze ihn automatisch, wenn du neben einem Gegner stehenbleibst oder ein Gegner neben dir stehenbleibt.","Uso: Un attacco corpo a corpo con un 5% probabilità di infliggere Stordimento.
Lo usi automaticamente quando ti fermi accanto a un nemico o un nemico si ferma accanto a te.","Uso: um ataque corpo-a-corpo com 5% de chance de atordoar.
Use isto automaticamente ao parar ao lado de um inimigo ou um inimigo parar ao seu lado.","使用：近战攻击，
有5%的几率造成眩晕。
当你停在敌人旁边或敌人停在你旁边时自动使用。
","使用: 5%の確率でスタンさせ
る近接攻撃。  
敵の隣に止まるか、敵があなたの
隣に止まったときに自動で使用し
ます。"
ITEM_BLACKMUSHROOM_NAME,Black Mushroom,,Seta negra,Champi noir,Schwarzer Pilz,Fungo Nero,Cogumelo Preto,黑蘑菇,黒キノコ
ITEM_BLACKMUSHROOM_DESC,"Use: A ranged attack that inflicts Weakness 2.
[s:.7](Usable once per battle.)[/s]",,"Uso: Lanza un ataque a distancia que inflige 2 de debilidad.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: une attaque à distance qui inflige Vulnérabilité 2.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Ein Fernkampfangriff, der Schwäche&nbsp;2 verursacht.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Un attacco a distanza che infligge Debolezza 2.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: um ataque à distância que aplica fraqueza 2.
[s:.7](Um uso por batalha.)[/s]","使用：远程攻击，造成虚弱2。
[s:.7](每场战斗可使用一次。)[/s]","使用: 遠距離攻撃で弱体化2を
与える。  
[s:.7](戦闘中に1回のみ使用可能。)[/s]"
ITEM_BLESSEDANOINTINGOIL_NAME,Blessed Anointing Oil,,Santos óleos,Huile d'onction bénie,Gesegnetes Salböl,Olio da Unzione Benedetto,Óleo de Unção Abençoado,祝福的膏油,聖なる聖油
ITEM_BLESSEDANOINTINGOIL_DESC,Use: Cleanse debuffs and heal an adjacent unit or yourself.,,Uso: Elimina las desventajas y cura a esta unidad o a otra adyacente.,Utilisation&nbsp;: dissipe les malus et régénère les PV d'une unité adjacente ou de vous-même.,Benutzen: Reinige Schwächungen und heile dich oder eine benachbarte Einheit.,Uso: Rimuove i malus e cura te o un'unità adiacente.,Uso: purifique enfraquecimentos e cure a si ou uma unidade adjacente.,"使用：
净化负面状态并治疗一个相邻单位或你自己。
","使用: 隣接するユニットまたは
自分のデバフを浄化し、回復しま
す。"
ITEM_BLOODBUCKET_NAME,Blood Bucket,,Cubo de sangre,Seau de sang,Bluteimer,Secchio di Sangue,Balde de Sangue,血桶,血のバケツ
ITEM_BLOODBUCKET_DESC,Use: A lobbed attack that creates a creep puddle.,,Uso: Lanza un ataque en arco que crea un charco de líquido tóxico.,Utilisation&nbsp;: une attaque en cloche qui génère une flaque de substance visqueuse.,"Benutzen: Ein Angriff, der Hindernisse ignoriert und eine gruselige Pfütze erschafft.",Uso: Un attacco a parabola che crea una pozza di melma.,Uso: um ataque em arco que cria uma poça de gosma.,"使用：投掷攻击，
制造一滩爬行物。","使用: 投げつけるとクリープの
水たまりを作る攻撃。"
ITEM_BLOODYBAGOFGLASS_NAME,Bloody Bag of Glass,,Bolsa sangrienta de cristales,Sac de verre ensanglanté,Blutige Scherbentasche,Sacco di Vetro Insanguinato,Saco de Vidro Ensanguentado,破碎玻璃袋,血まみれのガラス袋
ITEM_BLOODYBAGOFGLASS_DESC,Use: Throw a projectile that creates glass.,,Uso: Lanza un proyectil que crea cristales.,Utilisation&nbsp;: lance un projectile faisant apparaître du verre.,"Benutzen: Wirf ein Geschoss, das Glas erscheinen lässt.",Uso: Lanci un proiettile che crea vetro.,Uso: lance um projétil que cria vidro.,"使用：投掷一个投射物，
制造玻璃。","使用: ガラスを生成する投射物
を投げる。"
ITEM_BLOODYBEARTRAPS_NAME,Bloody Bear Traps,,Cepos sangrientos para osos,Pièges à ours ensanglantés,Blutige Bärenfalle,Trappole per Orsi Insanguinate,Armadilhas de Urso Ensanguentadas,血熊陷阱,血塗られたクマ罠
ITEM_BLOODYBEARTRAPS_DESC,Use: Place a Bear Trap.,,Uso: Coloca un cepo para osos.,Utilisation&nbsp;: place un piège à ours.,Benutzen: Lege eine Bärenfalle.,Uso: Piazzi una Trappola per Orsi.,Uso: prepare uma armadilha de urso.,使用：放置一个熊夹。,"使用: クマ用トラップを設置し
ます。"
ITEM_BLOODYBUTTERFLYKNIFE_NAME,Bloody Knife,,Cuchillo sangriento,Couteau ensanglanté,Blutiges Messer,Coltello Insanguinato,Faca Ensanguentada,血刀,ブラッディナイフ
ITEM_BLOODYBUTTERFLYKNIFE_DESC,"Use: A multi-hit melee attack with Lifesteal that inflicts Bleed.
[s:.7](Usable once per battle.)[/s]",,"Uso: Lanza un ataque cuerpo a cuerpo que golpea varias veces con robavida y que inflige hemorragia.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: une attaque multiple au corps-à-corps avec Vol de vie qui inflige Saignement.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Ein mehrfach treffender Nahkampfangriff, der Leben absaugt und Blutung verursacht.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Un attacco corpo a corpo multi-colpo con Rubavita che infligge Sanguinamento.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: um ataque corpo-a-corpo multigolpes com roubo de vida que aplica sangramento.
[s:.7](Um uso por batalha.)[/s]","使用：多次命中近战攻击，
附带吸血并造成流血效果。
[s:.7](每场战斗可使用一次。)[/s]","使用: ライフスティール効果を
持つ複数回ヒットの近接攻撃で、
出血を付与します。
[s:.7](戦闘ごとに1回使用可能。)[/s]"
ITEM_BLOODYMEATHOOK_NAME,Bloody Meat Hook,,Gancho sangriento para carne,Crochet de boucher ensanglanté,Blutiger Fleischhaken,Uncino da Carne Insanguinato,Gancho de Carne Ensanguentado,血肉钩,血まみれの肉鉤
ITEM_BLOODYMEATHOOK_DESC,"Use: Pull a unit towards you, Cleaving and inflicting Bleed 1.",,"Uso: Atrae a una unidad, le practica una incisión y le inflige 1 de hemorragia.","Utilisation&nbsp;: attire une unité vers vous, effectue une attaque tranchante et inflige Saignement 1.",Benutzen: Zieh eine Einheit an dich heran und verursache Blutung&nbsp;1.,"Uso: Tiri un'unità verso di te, infliggendole Fendente e Sanguinamento 1.","Uso: puxe uma unidade na sua direção, causando cisão e aplicando sangramento 1.","使用：拉近一个单位，
对其造成横扫伤害并附加流血1。
","使用: ユニットを自分の方に引
き寄せ、切り裂いて出血1を与え
る。"
ITEM_BLOODYSOULCLAW_NAME,Bloody Soul Claw,,Garra de alma sangrienta,Griffe spirituelle ensanglantée,Blutige Seelenkralle,Artiglio dell'Anima Insanguinato,Garra de Alma Ensanguentada,血魂爪,血魂の爪
